iter	Passed	Remaining
0	1	162
1	2	142
2	4	132
3	5	120
4	6	119
5	7	115
6	8	118
7	10	117
8	11	115
9	12	112
10	13	112
11	15	111
12	16	110
13	17	108
14	18	106
15	19	104
16	21	103
17	22	103
18	24	102
19	25	102
20	26	101
21	28	99
22	29	98
23	30	96
24	31	95
25	32	93
26	33	91
27	35	90
28	36	89
29	37	87
30	38	86
31	40	85
32	41	84
33	42	82
34	43	81
35	45	80
36	46	78
37	47	77
38	49	76
39	50	76
40	51	74
41	52	72
42	54	71
43	55	70
44	56	69
45	58	68
46	59	66
47	60	65
48	62	64
49	63	63
50	64	62
51	66	61
52	67	59
53	68	58
54	69	56
55	70	55
56	71	54
57	73	52
58	74	51
59	75	50
60	76	49
61	78	47
62	79	46
63	80	45
64	81	44
65	83	42
66	84	41
67	85	40
68	86	38
69	87	37
70	89	36
71	90	35
72	91	33
73	92	32
74	94	31
75	95	30
76	97	28
77	98	27
78	100	26
79	101	25
80	103	24
81	105	23
82	106	21
83	108	20
84	109	19
85	111	18
86	112	16
87	113	15
88	115	14
89	116	12
90	119	11
91	121	10
92	122	9
93	124	7
94	125	6
95	127	5
96	128	3
97	130	2
98	131	1
99	133	0
